Step	Apple	Android	Neither
0	1653	1699	1648
1	2072	2658	270
2	2029	2774	197
3	2026	2807	167
4	1965	2890	145
5	1975	2893	132
6	1973	2910	117
7	1955	2939	106
8	1987	2919	94
9	1982	2931	87
10	2001	2923	76
11	1991	2940	69
12	2025	2914	61
13	1952	2995	53
14	2006	2947	47
15	2014	2947	39
16	2019	2946	35
17	2071	2896	33
18	1989	2980	31
19	2001	2971	28
20	2069	2909	22
21	2066	2915	19
22	2071	2910	19
23	2111	2874	15
24	2110	2875	15
25	2136	2853	11
26	2099	2890	11
27	2109	2882	9
28	2143	2848	9
29	2194	2798	8
30	2143	2849	8
31	2180	2812	8
32	2133	2859	8
33	2110	2884	6
34	2064	2931	5
35	2038	2958	4
36	2024	2973	3
37	2051	2946	3
38	2073	2924	3
39	2059	2938	3
40	2026	2971	3
41	2011	2986	3
42	2029	2969	2
43	2077	2921	2
44	2098	2900	2
45	2130	2868	2
46	2131	2867	2
47	2144	2854	2
48	2145	2853	2
49	2186	2812	2
50	2218	2780	2
51	2191	2807	2
52	2182	2817	1
53	2192	2807	1
54	2187	2812	1
55	2196	2804	0
56	2190	2810	0
57	2193	2807	0
58	2132	2868	0
59	2139	2861	0
60	2097	2903	0
61	2006	2994	0
62	2060	2940	0
63	2077	2923	0
64	2094	2906	0
65	2105	2895	0
66	2146	2854	0
67	2162	2838	0
68	2198	2802	0
69	2155	2845	0
70	2141	2859	0
71	2149	2851	0
72	2162	2838	0
73	2124	2876	0
74	2121	2879	0
75	2137	2863	0
76	2214	2786	0
77	2243	2757	0
78	2216	2784	0
79	2168	2832	0
80	2208	2792	0
81	2172	2828	0
82	2127	2873	0
83	2118	2882	0
84	2108	2892	0
85	2077	2923	0
86	2067	2933	0
87	2056	2944	0
88	2093	2907	0
89	2079	2921	0
90	2088	2912	0
91	2119	2881	0
92	2135	2865	0
93	2100	2900	0
94	2064	2936	0
95	2043	2957	0
96	2067	2933	0
97	2122	2878	0
98	2123	2877	0
99	2107	2893	0
100	2118	2882	0
101	2088	2912	0
102	2106	2894	0
103	2049	2951	0
104	2054	2946	0
105	2074	2926	0
106	2038	2962	0
107	2067	2933	0
108	2048	2952	0
109	2065	2935	0
110	2105	2895	0
111	2118	2882	0
112	2025	2975	0
113	2043	2957	0
114	2080	2920	0
115	2131	2869	0
116	2078	2922	0
117	2128	2872	0
118	2134	2866	0
119	2152	2848	0
120	2152	2848	0
121	2179	2821	0
122	2142	2858	0
123	2159	2841	0
124	2124	2876	0
125	2156	2844	0
126	2167	2833	0
127	2164	2836	0
128	2175	2825	0
129	2177	2823	0
130	2198	2802	0
131	2154	2846	0
132	2145	2855	0
133	2180	2820	0
134	2158	2842	0
135	2188	2812	0
136	2172	2828	0
137	2171	2829	0
138	2161	2839	0
139	2172	2828	0
140	2209	2791	0
141	2149	2851	0
142	2146	2854	0
143	2163	2837	0
144	2174	2826	0
145	2154	2846	0
146	2158	2842	0
147	2145	2855	0
148	2143	2857	0
149	2166	2834	0
150	2185	2815	0
150	2185	2815	0
